model,RMSE,MAE,R2,APE
Linear Regression,0.08234068002326093,0.06647231307273795,0.9921031774107323,0.5856090006841962
Decision Tree,1.8067757086972533,1.5423076923076922,-2.802173832138973,13.64198049701994
XGBoost,1.7990368656270177,1.550829127385066,-2.7696723870290905,13.69274842977735
SVR,2.5426181853216536,2.370857840165256,-6.5298405562803215,20.624938264137114
Ridge Regression,2.4805424653459283,2.3120435436286564,-6.166660228857982,20.110668322779084
Lasso Regression,2.485726045955984,2.3184668371631574,-6.196643812324383,20.16175792550572
Elastic Net Regression,2.459773586641069,2.2934116059998977,-6.047153800820712,19.94548206736256
