model,RMSE,MAE,R2,APE
Linear Regression,1.2870917694405055,1.1795348200876425,-0.06901099488222684,5.361161834653874
Decision Tree,1.2438371152328462,0.9961538461538458,0.0016331109522679244,4.4627247600960365
XGBoost,0.8294287499667541,0.6937504342886117,0.5560630278309726,3.1365018763445467
SVR,1.4383741081493213,1.1697449201014025,-0.33507867598515917,5.371989158793773
Ridge Regression,0.45927451265231317,0.3121272476998236,0.8638844207352346,1.4392832797681694
Lasso Regression,1.9948673207108703,1.4765925334962386,-1.5679772830852476,6.642029833213072
Elastic Net Regression,1.9824531528829505,1.451784042692635,-1.5361154070309233,6.526077875937256
