model,RMSE,MAE,R2,APE
Linear Regression,0.8160100441034206,0.6867066688548894,0.9027580629552738,1.0518929500985261
Decision Tree,3.2767890005073785,2.986923076923076,-0.5680486999346195,4.563969334592056
XGBoost,3.1594961131913726,2.7403788053072415,-0.45780099844895483,4.166616750223052
SVR,4.685994493581286,4.192426356717947,-2.206757656493854,6.391467735803769
Ridge Regression,0.7318562640313189,0.5923587436771472,0.9217806538675688,0.8984021323491338
Lasso Regression,4.344226148352155,3.896681617357623,-1.7560522268868075,5.942570528990251
Elastic Net Regression,2.9030500992778836,2.5893336532039464,-0.2307551278713138,3.9472953248278113
