model,RMSE,MAE,R2,APE
Linear Regression,2.331547648311532,1.6295317226396877,-1.2013000723684066,2.5203613852006113
Decision Tree,0.8123991061616858,0.6653846153846137,0.7327427279728228,1.0388386310471196
XGBoost,1.1624756844565791,0.9173506047175463,0.45278447233679553,1.4262115028239892
SVR,1.747196282431616,1.5126398817834281,-0.23615819193327003,2.3265150437678495
Ridge Regression,0.8147723481293817,0.624400825830214,0.7311789827579691,0.9654278859759373
Lasso Regression,1.032665717421267,0.8670536037268323,0.5681726189999188,1.351779223962623
Elastic Net Regression,0.688336220021927,0.5957870897193002,0.8081367032968854,0.9294766941731999
