model,RMSE,MAE,R2,APE
Linear Regression,0.4269253285160012,0.2013346569591974,-0.1557762842091821,0.6532280034333288
Decision Tree,2.02792239268894,1.9853846153846162,-25.077898931380226,6.416017451550996
XGBoost,2.061880892618864,2.023453515859751,-25.958584446238945,6.53936932317153
SVR,2.6564067431896787,2.625219664074332,-43.74650134738954,8.48877374631346
Ridge Regression,1.4641863333351832,1.289383849561448,-12.594481057686497,4.168467301886479
Lasso Regression,2.532034697335804,2.404747038322141,-39.654557796219265,7.773902393219208
Elastic Net Regression,2.506986540608776,2.3721071269111893,-38.85418577775529,7.6691924068825
