model,RMSE,MAE,R2,APE
Linear Regression,0.17898352772114712,0.1553926040069845,0.9919810771795544,0.2560764431866302
Decision Tree,1.9906724801124167,1.4653846153846146,0.008050571684941499,2.3650182660706416
XGBoost,1.5506239227388687,1.2933741173377413,0.3981297652219352,2.1067841264727214
SVR,2.950694318310852,2.5612712960738477,-1.1794070281520685,4.158809156625372
Ridge Regression,0.5223759463891198,0.43069745569343465,0.9316944098155537,0.7140106212047543
Lasso Regression,1.7132991082413411,1.4364540527070537,0.26522176434974565,2.3349218588451732
Elastic Net Regression,1.2065130034562683,0.9774254279557402,0.6356205129256285,1.5896107961240475
