model,RMSE,MAE,R2,APE
Linear Regression,0.3008361664100287,0.23367694004203196,0.9704107553566097,0.4913526008691436
Decision Tree,2.981188456871627,2.53769230769231,-1.9057125490126325,5.1291080150249
XGBoost,2.86732525876775,2.4084465848482575,-1.687990367305325,4.861920943802566
SVR,4.041099059905712,3.623387002195375,-4.339158086325425,7.3534774209870175
Ridge Regression,2.0495357020713483,1.9838105189576456,-0.3733611662838785,4.067119941355714
Lasso Regression,3.7624808623159764,3.197465559202022,-3.6283094279145436,6.465119109775548
Elastic Net Regression,3.912693017566148,3.4418870652017186,-4.00524496796166,6.980446845858765
