model,RMSE,MAE,R2,APE
Linear Regression,0.4011674766516225,0.3478671081286524,0.9568582709813058,0.867726745164179
Decision Tree,1.5604708362443775,1.22076923076923,0.3472341496051785,3.0918956620214195
XGBoost,0.9219960361013492,0.7851383854792672,0.7721210441083488,1.9559153645699985
SVR,2.574432569204259,2.0049876561446855,-0.7766797613540737,5.083383558864721
Ridge Regression,1.4986852664157508,1.3266056340528858,0.39790227167857484,3.3256307565628376
Lasso Regression,5.246981565779355,4.033477920892119,-6.38015001731374,10.249140189687397
Elastic Net Regression,4.565859315011431,3.527869291839627,-4.588447360469534,8.956845758090468
