model,RMSE,MAE,R2,APE
Linear Regression,1.7064343901092411,1.5647234620948052,0.7026004711907115,1.9128175628455244
Decision Tree,2.812414785033838,2.4384615384615396,0.19217027224234684,2.9842283329736574
XGBoost,1.7382234133412702,1.5005880033052885,0.691416800901181,1.8449773280003627
SVR,3.266785509667759,2.7815166409104526,-0.08993933773592899,3.3567606235511653
Ridge Regression,1.142345959642633,0.9850535145603979,0.8667226385729403,1.1924022557991742
Lasso Regression,1.4112961317946062,1.1654689887337564,0.7965782488685954,1.4093171040023051
Elastic Net Regression,1.3743437307550839,1.196826311949618,0.8070912985650899,1.453778878802442
