model,RMSE,MAE,R2,APE
Linear Regression,1.6912073087592994,1.307360600204292,0.576232458485151,0.7849477631309005
Decision Tree,3.997955246603719,3.029230769230771,-1.368153513765999,1.7944815229436153
XGBoost,4.377463108567472,3.324875769981969,-1.8390888535745402,1.9696629918033448
SVR,5.673938394831471,5.010794269478068,-3.7698335875536166,2.9833978761149806
Ridge Regression,1.4756793940481578,1.1323408001334003,0.6773601395719901,0.6809360660468204
Lasso Regression,1.188182532839848,0.8875328823041483,0.7908295539726748,0.52827047704721
Elastic Net Regression,1.218946394018601,1.0216875380098254,0.7798578472552953,0.6106904202214745
