model,RMSE,MAE,R2,APE
Linear Regression,0.9024575952994609,0.8402065324536847,0.26760385713336277,2.4772142878214387
Decision Tree,2.392044506918072,2.1338461538461533,-4.145539916096059,6.229113884645147
XGBoost,2.2420909446767463,2.0205790710449225,-3.5206292311681606,5.902681441773739
SVR,2.720845398842066,2.506975610529694,-5.6573313070220435,7.3375760328692525
Ridge Regression,1.2175714095189751,1.037794762423863,-0.33315707830388264,3.0402184185912806
Lasso Regression,2.7432954652222605,2.55371844456847,-5.7676456431838385,7.485642572233994
Elastic Net Regression,2.7377214712345253,2.5495124249946173,-5.740171757959339,7.475205872739385
