model,RMSE,MAE,R2,APE
Linear Regression,0.8722556460975011,0.7480455717429799,0.8376725906923683,0.9278269507237517
Decision Tree,4.257979838807638,3.6653846153846192,-2.868222799923859,4.540334236623089
XGBoost,3.915893693878241,3.289755272498497,-2.2716441901808198,4.068454106106313
SVR,4.997754644553864,4.485592495140462,-4.329103337047493,5.5712522456019276
Ridge Regression,0.35003390757116254,0.2544629960132323,0.973858860700721,0.3176145824760598
Lasso Regression,4.494129859908055,3.8331507795695754,-3.309188713525911,4.745386648758343
Elastic Net Regression,4.416422723899941,3.771466290618066,-3.161458332101664,4.669367520750067
