model,RMSE,MAE,R2,APE
Linear Regression,2.756847887136182,2.598079237567038,-7.836420235038016,15.594651051661293
Decision Tree,1.4067966886074625,1.1153846153846148,-1.3009830967892806,7.077721721194186
XGBoost,1.2537206918951318,0.954740876417894,-0.8274787721632613,6.090036494832271
SVR,2.333554835382375,2.1368897226005625,-5.33121081671651,13.310639579728074
Ridge Regression,3.154292172142572,3.048223732889283,-10.56790171180984,18.365072481353064
Lasso Regression,3.6349330275920075,3.5266524544186137,-14.361852139548715,21.278387809662163
Elastic Net Regression,3.4864738308842256,3.386853796481655,-13.132649007006524,20.42082840167283
