model,RMSE,MAE,R2,APE
Linear Regression,0.8272694633445543,0.7156354743856934,0.8319947229218512,0.7754265298795948
Decision Tree,2.246249866230039,1.5638461538461559,-0.23863989606447755,1.649952344257099
XGBoost,2.1983983139521235,1.710790663499099,-0.18642885461038672,1.8126481316922651
SVR,2.80197799575279,2.0826552374061795,-0.9273401854596548,2.1950947979507607
Ridge Regression,1.5888426164859442,1.3892143536091284,0.38028687242628967,1.5049880827765871
Lasso Regression,2.3837945773245717,1.737499251716268,-0.3949755343386743,1.8307173758348776
Elastic Net Regression,1.6469276686001448,1.3023779720426643,0.3341475723976468,1.3798632187927788
