model,RMSE,MAE,R2,APE
Linear Regression,0.23130716836383844,0.18277178890839652,0.9895075540008095,0.4220995866206565
Decision Tree,2.7373738116332227,2.0523076923076946,-0.46949047279323763,4.957921586098032
XGBoost,2.350694795328229,1.7790752000075116,-0.08365502733274521,4.293039039667684
SVR,3.181620647534514,2.5880964321229425,-0.9851592486317968,6.202197092036317
Ridge Regression,0.9109185954067068,0.7441606161611996,0.8372737207972627,1.7584236750216333
Lasso Regression,3.4997860287245044,2.8068811862451764,-1.4020472432561966,6.732665295545551
Elastic Net Regression,3.3937168766276886,2.6889894229885005,-1.2586543529357517,6.455229031254152
