model,RMSE,MAE,R2,APE
Linear Regression,4.2767517486583015,3.792527010991233,-1.4921933994517222,4.954154816682912
Decision Tree,3.3572802637299675,2.5053846153846147,-0.535779453333741,3.2296071287798203
XGBoost,3.470570955860175,2.499518432617187,-0.6411773483756389,3.205132376703632
SVR,4.557192391406102,3.6396031491384773,-1.8297520645487317,4.700213073675029
Ridge Regression,3.2355663467041156,2.7809444786740025,-0.4264425249679462,3.6208300382321528
Lasso Regression,4.266338434394248,3.2574819725107207,-1.4800718643262751,4.197113730156921
Elastic Net Regression,4.423716692088433,3.60682891243754,-1.6664182281033177,4.669996058561794
