model,RMSE,MAE,R2,APE
Linear Regression,0.2802967063970705,0.2290606870537831,0.8980860556964225,1.1898894067223664
Decision Tree,0.47964730632157054,0.38615384615384585,0.701570576144006,2.018407080253152
XGBoost,0.575843081151172,0.450317687988281,0.5698638664286078,2.3553920278091023
SVR,1.3782342012877709,1.1288260829912924,-1.4640168110310938,5.979967595533899
Ridge Regression,1.197165239813671,0.9926504416012667,-0.8591131282240334,5.180247072866849
Lasso Regression,1.3762139887152645,1.1247076327891625,-1.4567986045982275,5.957709490514502
Elastic Net Regression,1.3801471957033489,1.1254529634587587,-1.470861687870606,5.9611968711234
