model,RMSE,MAE,R2,APE
Linear Regression,0.10232368537831656,0.0847578615947887,0.9209973888215276,0.4116682046295046
Decision Tree,0.5477366014932581,0.461538461538461,-1.2637716877851841,2.2433086491745446
XGBoost,0.3933064047684086,0.3315993734506462,-0.1672157409959567,1.6081221436987974
SVR,1.5536011287860763,1.5037666456973444,-17.212440862990665,7.306036570079099
Ridge Regression,1.7878657974817327,1.7561880860457064,-23.118979638576043,8.562671802319539
Lasso Regression,1.8141374045876397,1.7674759258044348,-23.833015186599855,8.597964053937437
Elastic Net Regression,1.8441275400359798,1.7987618228235034,-24.66084808425694,8.752526321883341
