model,RMSE,MAE,R2,APE
Linear Regression,0.4401189442907566,0.3380073733063884,0.9626390227261635,0.6260780530203452
Decision Tree,1.238879077037531,0.9751282051282042,0.7039698539311423,1.865439394515954
XGBoost,1.6527010898108716,1.3332633737417368,0.47317457078560876,2.572965294156899
SVR,2.3676113682330366,2.0585181110997848,-0.08118232151063043,3.9410308545920327
Ridge Regression,0.6928853844417334,0.6202259251775742,0.9074021498486076,1.1562598581401182
Lasso Regression,3.4063457458882342,2.687521462743474,-1.237976679298768,4.922897210536641
Elastic Net Regression,2.6757314863519976,2.1371796885919965,-0.38090296172151095,3.91548054187226
