model,RMSE,MAE,R2,APE
Linear Regression,0.6723293922875889,0.5314459643321663,0.9700463945221373,0.5055289157049938
Decision Tree,2.544531088734911,2.0915384615384633,0.5709573833798791,2.0073814821129297
XGBoost,2.1287048876294685,1.8550334050105164,0.6997273170158163,1.7708780132112332
SVR,6.445104720510516,5.2118865044439495,-1.7526111593502658,4.895689541562235
Ridge Regression,0.5754422266562349,0.4467164699406702,0.9780573858967675,0.4299731887941877
Lasso Regression,2.9935763094341192,2.502077626991843,0.40616529335230833,2.360171496414668
Elastic Net Regression,3.3121934290952604,2.7890439518624643,0.2730303293891999,2.6356144453496726
