model,RMSE,MAE,R2,APE
Linear Regression,0.1904650319437924,0.13746056297711925,0.9411006221721316,0.5488559204710051
Decision Tree,1.4814883368787253,1.3176923076923073,-2.5634992612119922,5.325844260074397
XGBoost,0.8013690218754332,0.6694693932166467,-0.04266621056945663,2.7349551316986234
SVR,2.104639956633404,1.968406383055689,-6.191770532376758,7.991889474309753
Ridge Regression,0.470106119352879,0.4085941891063423,0.6411838282902879,1.637320543335322
Lasso Regression,2.288929634518554,2.0784839818120746,-7.506385946411001,8.360310497913414
Elastic Net Regression,2.4846325118328396,2.1561691610657903,-9.023156858304425,8.655183811928211
