model,RMSE,MAE,R2,APE
Linear Regression,1.16783504480031,1.0877755620707652,0.06884072105963934,3.053049645982686
Decision Tree,2.5863755453411,2.2907692307692336,-3.567138046158682,6.3891788842899935
XGBoost,1.8422283667355148,1.561753680889424,-1.3171166548282303,4.345403896988019
SVR,2.8183652124758853,2.5500926031333413,-4.423198583684519,7.125941515678079
Ridge Regression,1.6152906447704094,1.5105210408597358,-0.7814035923779155,4.236687859393012
Lasso Regression,2.941642356589127,2.6887789515058884,-4.908003022029726,7.521683227189369
Elastic Net Regression,2.943193824342318,2.6880055254145985,-4.91423661009266,7.518795674827293
