model,RMSE,MAE,R2,APE
Linear Regression,0.6061780949701646,0.5357034417887439,0.9321602491755799,0.6313858970964776
Decision Tree,2.2491759174622854,1.7269230769230761,0.06603496765070416,1.9739339440402275
XGBoost,2.410779801580251,1.8794958496093732,-0.07299785875307396,2.157206371021486
SVR,3.8894415244839675,3.1375179185998765,-1.7929184825898612,3.5879032754472586
Ridge Regression,1.0496420877921042,0.8321820321980963,0.7965928382708879,0.981579265231735
Lasso Regression,1.5143338148876015,1.1826995501080306,0.5766232474092439,1.3512574724644537
Elastic Net Regression,1.221093794780671,1.0481282089538355,0.7247154640754118,1.2129877299605798
