model,RMSE,MAE,R2,APE
Linear Regression,0.1321196262735128,0.11345463825414015,0.990959513687671,0.3187954581356871
Decision Tree,1.3631411688280275,1.1061538461538447,0.03763728534942856,3.1026871792701005
XGBoost,1.302081196984894,1.064449662428635,0.1219216793677016,2.9885025355846713
SVR,1.6272447881391947,1.1638775123112928,-0.37139606302767647,3.337702506852246
Ridge Regression,0.7450466099910402,0.5839340006914907,0.7125091639131607,1.6344484263149166
Lasso Regression,1.6691328719095824,1.1803402403146488,-0.4429089935841968,3.362103072851838
Elastic Net Regression,1.6827284877865565,1.2274753114008372,-0.46651062657044196,3.4879183591975353
