model,RMSE,MAE,R2,APE
Linear Regression,0.2526290737317057,0.20316643540880308,0.9407783557838008,0.5538088325572202
Decision Tree,1.4978625797089344,1.2038461538461527,-1.0818898303595699,3.2334093571745273
XGBoost,0.5714029336220524,0.4306365966796882,0.6970306236697756,1.1554308621272462
SVR,1.2889811861615146,1.12721223309058,-0.5417251546675288,3.0203423256242456
Ridge Regression,0.5791137606898779,0.49982671577714544,0.688798579548912,1.3403116772747041
Lasso Regression,1.6455548394843682,1.4925015539144155,-1.5126877450376313,4.012443428178204
Elastic Net Regression,1.6226242131053412,1.4909909271485753,-1.4431476048805543,4.0111444164624395
