model,RMSE,MAE,R2,APE
Linear Regression,1.9660520095854415,1.7144894755663462,0.8947144460284031,1.6663277229766058
Decision Tree,5.618086862981028,4.763846153846155,0.1402826702265677,4.454758104951413
XGBoost,4.89558329761609,4.323966839130107,0.3471886890651199,4.094496582615595
SVR,6.607659783080459,5.720752443623036,-0.18925265433438265,5.336575575914481
Ridge Regression,2.1916394323736723,1.9159489041344693,0.8691670923738666,1.8457047259074173
Lasso Regression,2.466275030537909,2.164642682094763,0.8343231633536463,2.079215104259518
Elastic Net Regression,2.6487913235484615,2.3444948251105697,0.8088940221649759,2.2454680160212703
