model,RMSE,MAE,R2,APE
Linear Regression,1.1341993814938285,0.8156189197918144,-0.04872496312043961,1.225361275121174
Decision Tree,1.8906449855904899,1.6323076923076933,-1.9140887072110178,2.422054844106367
XGBoost,1.900398831740146,1.628191810021034,-1.944233860643077,2.414875794394106
SVR,3.5896083277157644,3.410169196534891,-9.504537158518698,5.080292910392129
Ridge Regression,0.8927213660271176,0.8158784131241357,0.3502973296276477,1.2189469228755103
Lasso Regression,3.6481692227341975,3.3264120382643294,-9.850075091012782,4.959242540125544
Elastic Net Regression,3.349729900242319,3.023699218160222,-8.147499053910579,4.507448209396678
